meter,field,interval,low,lolo,high,hihi,source,comments
01-WTR-MAIN,gal,86400,0,0,2000,3000,web,
02-WTR-MAIN,gal,86400,0,0,2000,3000,web,
08-CT02-DRAIN,gal,86400,0,0,11000,12000,web,
08-CT02-DRAIN2,gal,86400,0,0,8000,9000,web,
08-CT02-SUPPLY,gal,86400,0,0,100000,105000,web,
08-WTR-MAIN,gal,86400,0,0,1500,2000,web,
12-B-PERIMETER,gal,86400,0,0,10,20,web,
12-B-REHEAT,gal,86400,0,0,10,20,web,
12-CHW-Makeup,gal,86400,0,0,10,20,web,decoupled loop from the CUP loop
12-GTP-Makeup,gal,86400,0,0,5,10,web,geothermal shouldn�t see any usage
12-HP-Makeup,gal,86400,0,0,20,100,web,heat pump loop relief valve opens occasionally
12-MECH-Supply,gal,86400,0,0,50,100,web,suspect this is for boilers
12-WTR-IRRG,gal,86400,0,0,5,10,web,
12-WTR-MAIN,gal,86400,0,0,3500,4000,web,
18-WTR-MAIN,gal,86400,0,0,200,1000,web,
19-WTR-MAIN,gal,86400,0,0,2500,3000,web,
23-WTR-MAIN,gal,86400,0,0,2500,3000,web,
28-B-MAKEUP,gal,86400,0,0,20,30,web,
28-CHW-MAKEUP,gal,86400,0,0,10,20,web,
28-WTR-MAIN,gal,86400,0,0,2500,3000,web,
36-WTR-MAIN1,gal,86400,0,0,2500,3000,web,
36-WTR-MAIN2,gal,86400,0,0,1000,2000,web,
38-CT02-DRAIN,gal,86400,0,0,15000,18000,web,
38-CT02-FLTRDRAIN,gal,86400,0,0,500,1000,web,
38-CT02-FLTRDRAIN2,gal,86400,0,0,400,500,web,
38-CT02-SUPPLY,gal,86400,0,0,60000,70000,web,
38-MECH-SUPPLY,gal,86400,0,0,8000,9000,web,
38-VACP-SUPPLY,gal,86400,0,0,8000,9000,web,
38-WTR-MAIN,gal,86400,0,0,11000,12000,web,
51-WTR-MAIN,gal,86400,0,0,100,200,web,
52-WTR-MAIN,gal,86400,0,0,2500,3000,web,
53-WTR-MAIN,gal,86400,0,0,100,200,web,
55-CT-DRAIN,gal,86400,0,0,6000,8000,web,
55-CT-SUPPLY,gal,86400,0,0,9000,10000,web,
55-WTR-MAIN,gal,86400,0,0,9000,10000,web,
57-CT02-DRAIN,gal,86400,0,0,2000,3000,web,
57-CT02-SUPPLY,gal,86400,0,0,8000,10000,web,
57-WTR-MAIN,gal,86400,0,0,100,200,web,
58-CT01-SUPPLY,gal,86400,0,0,50000,60000,web,
58-LCW-MAKEUP,gal,86400,0,0,300,500,web,
58-UPW-RECOVERY,gal,86400,0,0,20000,30000,web,
58-UPW-SUPPLY,gal,86400,0,0,50000,60000,web,
58-WTR-MAIN,gal,86400,0,0,50000,60000,web,
60-CHW-MAKEUP,gal,86400,0,0,500,1000,web,why is this making up so much?
60-WTR-MAIN,gal,86400,0,0,300,500,web,
67-CT02-DRAIN,gal,86400,0,0,10000,15000,web,
67-CT02-DRAIN2,gal,86400,0,0,500,1000,web,
67-CT02-FLTRDRAIN,gal,86400,0,0,500,1000,web,
67-CT02-FLTRDRAIN2,gal,86400,0,0,200,500,web,
67-CT02-SUPPLY,gal,86400,0,0,90000,100000,web,
67-MECH-SUPPLY,gal,86400,0,0,6000,7000,web,
67-VACP-SUPPLY,gal,86400,0,0,6000,7000,web,
67-WTR-MAIN,gal,86400,0,0,6000,7000,web,
85-WTR-MAIN,gal,86400,0,0,400,500,web,
87-WTR-MAIN,gal,86400,0,0,200,300,web,
89-WTR-MAIN,gal,86400,0,0,300,500,web,
90-WTR-MAIN,gal,86400,0,0,400,500,web,
92-CHW-MAKEUP,gal,86400,0,0,10,20,web,
92-CT02-DRAIN,gal,86400,0,0,6000,10000,web,
92-CT02-SUPPLY,gal,86400,0,0,20000,30000,web,
92-ICW-MAKEUP,gal,86400,0,0,10,20,web,
92-LCW-MAKEUP,gal,86400,0,0,10,20,web,
92-WTR-MAIN,gal,86400,0,0,3000,5000,web,
94-WTR-MAIN,gal,86400,0,0,600,1000,web,
96-WTR-MAIN,gal,86400,0,0,300,1000,web,
97-GWP-LARGE,gal,86400,0,0,15000,20000,web,
97-GWP-SMALL,gal,86400,0,0,9000,10000,web,
97-SUMP-DRAIN,gal,86400,0,0,3000,10000,web,
97-WTR-MAIN,gal,86400,0,0,30,100,web,
97-WTR-MAIN2,gal,86400,0,0,30,100,web,
98-WTR-MAIN,gal,86400,0,0,30,100,web,
101-WTR-MAIN,gal,86400,0,0,300,1000,web,
102-WTR-MAIN,gal,86400,0,0,300,1000,web,
104-WTR-MAIN,gal,86400,0,0,100,1000,web,
200-CT01-DRAIN,gal,86400,0,0,5000,10000,web,
200-CT01-FLTRDRAIN,gal,86400,0,0,100,1000,web,
200-CT01-SUPPLY,gal,86400,0,0,15000,20000,web,
200-WTR-MAIN,gal,86400,0,0,15000,20000,web,
202-SUMP-DRAIN,gal,86400,0,0,300,1000,web,
202-WTR-MAIN,gal,86400,0,0,300,1000,web,
203-WTR-MAIN,gal,86400,0,0,600,1000,web,
ARC-MAKEUP,gal,86400,0,0,10,20,web,
ARC-WTR-IRRG,gal,86400,0,0,5,10,web,
ARC-WTR-MAIN,gal,86400,0,0,300,1000,web,
